id,attention,progress-belief,progress-binary,humanprogress1,humanprogress2,humanprogress3,humanprogress4,inevitableprogress1,inevitableprogress2,inevitableprogress3,inevitableprogress4,humanprogress-mean,inevitableprogress-mean,humanprogress-hilo,inevitableprogress-hilo,hilo-group,moral-setback-example,charity-choice - Selected Choice,charity-choice - None of these (please enter a charity of your choice) - Text,donation-amount,donation-binary,issue-importance,donation-confidence,gender,politics,age,religion,country
54,instructions,Yes,2,6,5,6,6,4,5,5,6,5.75,5,1,1,both-high,shooting in Chicago on Halloween,Giffords Law Center to Prevent Gun Violence,,5,1,6,4,Woman,Liberal,25,Agnosticism,United States of America
143,instructions,Yes,2,6,6,6,6,5,6,5,4,6,5,1,1,both-high,The entire circus that is Donald Trump. ,None of these (please enter a charity of your choice),idk what charity would count for this,0,0,5,4,Non-binary,Very liberal,40,Pagan,United States of America
148,instructions,Yes,2,6,7,5,6,7,5,3,5,6,5,1,1,both-high,Abortion,Abortion Care Network,,0,0,5,3,Man,Moderate,31,Catholicism,United States of America
53,instructions,Yes,2,7,6,6,7,4,7,4,5,6.5,5,1,1,both-high,The over turning of roe vs wade,Abortion Care Network,,10,1,7,4,Man,Liberal,26,Agnosticism,United States of America
6,instructions,Yes,2,7,7,6,6,5,6,5,4,6.5,5,1,1,both-high,For Halloween this year a group of teens wore prison uniforms and painted their face black. They didn't seem to show any remorse when people called them out on their black-facing and even laughed. ,Voices for Racial Justice,,20,1,7,7,Woman,Moderate,19,Non-denominational Christianity,United States of America
96,instructions,Yes,2,7,7,7,7,6,6,4,4,7,5,1,1,both-high,SCOTUS repeal of Roe v. Wade,Abortion Care Network,,20,1,7,4,Woman,Very liberal,19,Atheism,United States of America
29,instructions,Yes,2,6,6,6,5,5,6,5,5,5.75,5.25,1,1,both-high,Kanye west being antisemitic and people agreeing with him,Voices for Racial Justice,,10,1,5,4,Man,Liberal,27,Catholicism,United States of America
60,instructions,Not sure,1,6,6,5,6,4,6,5,6,5.75,5.25,1,1,both-high,"People thinking that just because it is 2022, that racism doesn't exist and how that past few years has exemplified it.",Voices for Racial Justice,,10,1,7,7,Woman,Moderate,35,Baptist,United States of America
77,instructions,Yes,2,7,6,5,5,5,5,6,5,5.75,5.25,1,1,both-high,Nancy Pelosi's husband being tortured.,Giffords Law Center to Prevent Gun Violence,,10,1,7,4,Man,Very liberal,35,Methodist,United States of America
122,instructions,Yes,2,6,6,5,6,5,5,6,5,5.75,5.25,1,1,both-high,The equality that women has been granted in society in the US has shifted backwards when things like reproductive rights have been repealed and it does not feel like they have a say in that matter. ,Abortion Care Network,,10,1,4,6,Man,Moderate,31,Islam,United States of America
97,instructions,Yes,2,7,6,7,6,5,6,5,5,6.5,5.25,1,1,both-high,abortion rights,Abortion Care Network,,5,1,4,5,Woman,Moderate,47,Atheism,United States of America
118,instructions,Yes,2,7,7,7,7,5,5,5,6,7,5.25,1,1,both-high,Peacefully protesting and instead protesting turning violent ,Democracy Works Inc.,,5,1,4,4,Woman,Liberal,26,Methodist,United States of America
139,instructions,Yes,2,7,7,7,7,6,6,4,5,7,5.25,1,1,both-high,Abortion,A Bond of Love Adoption Agency Inc.,,5,1,5,3,Woman,Conservative,47,Agnosticism,United States of America
34,peach,Yes,2,6,6,6,6,5,6,6,5,6,5.5,1,1,both-high,"Personal attacks of politicians in their homes, running a vehicle into a crowd of parade watchers.",Voices for Racial Justice,,10,1,7,4,Woman,Liberal,65,Non-denominational Christianity,United States of America
68,instructions,Yes,2,6,7,6,6,4,7,4,7,6.25,5.5,1,1,both-high,The shooting of highland park,Giffords Law Center to Prevent Gun Violence,,5,1,6,5,Man,Conservative,18,Presbyterianism,United States of America
28,instructions,Yes,2,7,7,7,7,6,6,5,5,7,5.5,1,1,both-high,Removing of federally approved abortion rights in the United States,Abortion Care Network,,10,1,5,5,Man,Very liberal,20,Atheism,United States of America
61,instructions,Yes,2,7,6,6,6,5,5,7,6,6.25,5.75,1,1,both-high,This example is of certain celebrities promoting anti-semitic comments. This kind of thinking existed in the world hundreds of years ago and it wasn't okay then. ,Democracy Works Inc.,,10,1,5,6,Man,Moderate,32,Presbyterianism,United States of America
145,instructions,Yes,2,7,7,6,7,6,5,6,6,6.75,5.75,1,1,both-high,"I am specifically thinking about instances of crime, such as gun violence, mass shootings, caused by criminals.",Voices for Racial Justice,,20,1,6,5,Man,Conservative,33,Non-denominational Christianity,United States of America
74,instructions,Yes,2,7,7,7,7,6,7,5,5,7,5.75,1,1,both-high,the abortion bill that was repealed ,Abortion Care Network,,1,1,5,5,Man,Very liberal,25,Agnosticism,United States of America
80,instructions,Yes,2,7,7,7,7,6,6,6,5,7,5.75,1,1,both-high,The striking down of Roe v. Wade,Abortion Care Network,,20,1,7,7,Woman,Liberal,25,Atheism,United States of America
150,instructions,Yes,2,6,5,6,6,6,6,6,6,5.75,6,1,1,both-high,Free Speech When Talking about Hong Kong,Democracy Works Inc.,,20,1,6,5,Man,Moderate,23,Lutheran,United States of America
86,instructions,Yes,2,7,6,7,7,7,7,6,4,6.75,6,1,1,both-high,supreme court overruling roe v wade,Abortion Care Network,,1,1,7,4,Man,Very liberal,46,Atheism,United States of America
115,instructions,Yes,2,7,7,7,7,7,6,7,4,7,6,1,1,both-high,Wars are still common and the recent events reinforce this idea.,Hope for Ukraine Inc. ,,2,1,6,6,Man,Liberal,23,Agnosticism,United States of America
120,instructions,Not sure,1,6,7,6,7,7,6,7,5,6.5,6.25,1,1,both-high,the current situation of children being exposed to pedophiles and degenerates in the USA is one of the biggest issues,None of these (please enter a charity of your choice),allprodad.com,10,1,7,4,Man,Conservative,57,Catholicism,United States of America
119,instructions,Yes,2,7,6,7,7,7,6,7,5,6.75,6.25,1,1,both-high,Overturning of Roe v. Wade,Abortion Care Network,,5,1,6,5,Man,Liberal,19,Catholicism,United States of America
71,instructions,Yes,2,7,7,7,7,7,7,7,4,7,6.25,1,1,both-high,Trump and Republicans,Voices for Racial Justice,,5,1,7,4,Man,Very liberal,40,Atheism,United States of America
5,instructions,Yes,2,7,6,6,7,7,7,7,5,6.5,6.5,1,1,both-high,Police brutality,Voices for Racial Justice,,10,1,5,6,Man,Liberal,22,Agnosticism,United States of America
121,instructions,Yes,2,7,7,7,7,7,7,7,5,7,6.5,1,1,both-high,BLM and the anti protests,Voices for Racial Justice,,5,1,5,4,Man,Liberal,34,Orthodox,United States of America
49,instructions,Yes,2,7,7,7,7,7,5,7,7,7,6.5,1,1,both-high,School shootings,Giffords Law Center to Prevent Gun Violence,,20,1,7,5,Woman,Liberal,23,Non-denominational Christianity,United States of America
